Date,Visitor,,Details,,Home,Location
"2025-03-23T19:20:00.000Z","Mid Ice Crisis","Mid Ice Crisis","L 6 - 1","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-03-30T23:13:00.000Z","HatTrick Swayzes","HatTrick Swayzes","L 2 - 4","Catfish Cowgirls","Catfish Cowgirls","North"
"2025-04-06T16:51:00.000Z","HatTrick Swayzes","HatTrick Swayzes","L 3 - 5","Your Mom","Your Mom","North"
"2025-04-13T19:00:00.000Z","HatTrick Swayzes","HatTrick Swayzes","W 3 - 2","Puck Me","Puck Me","South"
"2025-04-27T21:02:00.000Z","Berryfield Bombers","Berryfield Bombers","L 2 - 1","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-05-04T22:09:00.000Z","Bones HC","Bones HC","L 4 - 1","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-05-18T16:45:00.000Z","The Fluffy Bunnies","The Fluffy Bunnies","4:45 PM","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-06-01T18:00:00.000Z","Mid Ice Crisis","Mid Ice Crisis","6:00 PM","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-06-08T20:15:00.000Z","HatTrick Swayzes","HatTrick Swayzes","8:15 PM","Catfish Cowgirls","Catfish Cowgirls","South"
"2025-06-29T21:45:00.000Z","HatTrick Swayzes","HatTrick Swayzes","9:45 PM","Your Mom","Your Mom","North"
"2025-07-06T15:15:00.000Z","HatTrick Swayzes","HatTrick Swayzes","3:15 PM","Puck Me","Puck Me","South"
"2025-07-13T17:45:00.000Z","HatTrick Swayzes","HatTrick Swayzes","5:45 PM","Berryfield Bombers","Berryfield Bombers","South"
"2025-07-20T20:15:00.000Z","Bones HC","Bones HC","8:15 PM","HatTrick Swayzes","HatTrick Swayzes","South"
"2025-07-27T21:45:00.000Z","The Fluffy Bunnies","The Fluffy Bunnies","9:45 PM","HatTrick Swayzes","HatTrick Swayzes","North"
"2025-08-03T15:15:00.000Z","Mid Ice Crisis","Mid Ice Crisis","3:15 PM","HatTrick Swayzes","HatTrick Swayzes","South"
